#YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
#yr  mo dy hr mn       m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2020 01 02 07 30     2.1 15.90 999.00 24.50  80.4  6.90 999.00     4 99.00 99.00
2020 01 02 08 00     2.2 14.30 999.00  7.30  97.6  9.60 999.00     6 99.00 99.00
2020 01 02 08 30     2.2 16.30 999.00 28.20  80.8  6.70 999.00     6 99.00 99.00
2020 01 02 09 00     2.2 14.30 999.00  7.00  98.1  9.60 999.00     7 99.00 99.00
2020 01 02 09 30     2.2 15.20 999.00 15.90  91.0  8.30 999.00     6 99.00 99.00
2020 01 02 10 00     2.2 14.60 999.00 10.20  93.5  8.90 999.00     6 99.00 99.00
2020 01 02 10 30     2.1 14.40 999.00  6.90  96.5  9.50 999.00     7 99.00 99.00
2020 01 02 11 00     2.2 14.40 999.00  6.70  97.1  9.50 999.00     6 99.00 99.00
2020 01 02 11 30     2.1 14.40 999.00  6.70  97.8  9.60 999.00     6 99.00 99.00
2020 01 02 12 00     2.1 14.30 999.00  6.50  98.5  9.70 999.00     7 99.00 99.00
2020 01 02 12 30     2.1 14.40 999.00  6.70  98.3  9.70 999.00     7 99.00 99.00
2020 01 02 13 00     2.1 14.40 999.00  6.90  97.6  9.60 999.00    13 99.00 99.00
2020 01 02 13 30     2.1 14.40 999.00  6.70  97.6  9.60 999.00     6 99.00 99.00
2020 01 02 14 00     2.1 14.40 999.00  7.40  97.0  9.50 999.00     7 99.00 99.00
2020 01 02 14 30     2.1 14.50 999.00  7.40  99.0  9.60 999.00     7 99.00 99.00
2020 01 02 15 00     2.1 14.50 999.00  7.70  99.1  9.60 999.00     7 99.00 99.00
2020 01 02 15 30     2.1 14.60 999.00  7.90  99.0  9.60 999.00     7 99.00 99.00
2020 01 02 16 00     2.1 14.60 999.00  8.30  99.6  9.60 999.00     6 99.00 99.00
2020 01 02 16 30     2.1 14.70 999.00  9.40  97.3  9.30 999.00     6 99.00 99.00
2020 01 02 17 00     2.1 14.90 999.00  9.70  98.2  9.40 999.00    10 99.00 99.00
2020 01 02 17 30     2.1 14.90 999.00  9.60  98.8  9.40 999.00     9 99.00 99.00
2020 01 02 18 00     2.1 14.90 999.00  9.20  99.8  9.50 999.00    11 99.00 99.00
2020 01 02 18 30     2.1 15.00 999.00  9.00 101.0  9.60 999.00    12 99.00 99.00
2020 01 02 19 00     2.1 15.10 999.00  8.90 101.2  9.60 999.00    10 99.00 99.00
2020 01 02 19 30     2.1 15.20 999.00  8.80 101.5  9.70 999.00     9 99.00 99.00
2020 01 02 20 00     2.1 15.20 999.00  8.80 101.8  9.70 999.00     8 99.00 99.00
2020 01 02 20 30     2.1 15.20 999.00  9.10 101.7  9.70 999.00    11 99.00 99.00
2020 01 02 21 00     2.1 15.30 999.00  8.60 102.2  9.70 999.00     6 99.00 99.00
2020 01 02 21 30     2.1 15.10 999.00  9.10 101.5  9.70 999.00    10 99.00 99.00
2020 01 02 22 00     2.2 15.30 999.00  8.20 103.3  9.80 999.00     6 99.00 99.00
2020 01 02 22 30     2.2 15.20 999.00  9.10  99.5  9.50 999.00     6 99.00 99.00
2020 01 02 23 00     2.2 15.20 999.00  8.80  99.9  9.50 999.00     6 99.00 99.00
2020 01 02 23 30     2.1 15.40 999.00  8.20 102.6  9.80 999.00     5 99.00 99.00
2020 01 03 00 00     2.2 15.30 999.00  8.90  99.2  9.40 999.00     8 99.00 99.00
2020 01 03 00 30     2.2 15.30 999.00  8.50 100.5  9.60 999.00     5 99.00 99.00
2020 01 03 01 00     2.2 15.20 999.00  9.00  97.5  9.30 999.00     5 99.00 99.00
2020 01 03 01 30     2.2 15.10 999.00  9.00  97.3  9.30 999.00     5 99.00 99.00
2020 01 03 02 00     2.2 15.10 999.00  9.10  96.4  9.20 999.00     6 99.00 99.00
2020 01 03 02 30     2.2 15.10 999.00 10.30  92.0  8.70 999.00     8 99.00 99.00
2020 01 03 03 00     2.2 15.10 999.00 10.20  93.0  8.80 999.00     5 99.00 99.00
2020 01 03 03 30     2.2 15.20 999.00 10.00  94.7  8.90 999.00     4 99.00 99.00
2020 01 03 04 00     2.2 15.20 999.00 10.30  94.2  8.90 999.00     5 99.00 99.00
2020 01 03 04 30     2.2 15.20 999.00 10.00  93.3  8.80 999.00     5 99.00 99.00
2020 01 03 05 00     2.2 15.20 999.00 10.90  93.1  8.80 999.00     6 99.00 99.00
2020 01 03 05 30     2.2 15.20 999.00 10.30  91.5  8.60 999.00     6 99.00 99.00
2020 01 03 06 00     2.2 15.20 999.00  9.60  92.8  8.80 999.00    10 99.00 99.00
2020 01 03 06 30     2.2 15.30 999.00  9.70  94.3  8.90 999.00     6 99.00 99.00
2020 01 03 07 00     2.2 15.40 999.00  9.20  94.5  8.90 999.00     6 99.00 99.00
2020 01 03 07 30     2.2 15.60 999.00  8.90  96.3  9.10 999.00     5 99.00 99.00
2020 01 03 08 00     2.2 15.60 999.00  8.90  98.2  9.30 999.00     4 99.00 99.00
2020 01 03 08 30     2.2 15.60 999.00  9.80  98.2  9.20 999.00     4 99.00 99.00
2020 01 03 09 00     2.2 15.50 999.00  9.90  97.9  9.20 999.00     4 99.00 99.00
2020 01 03 09 30     2.2 15.50 999.00 10.20  96.9  9.10 999.00     4 99.00 99.00
2020 01 03 10 00     2.2 15.50 999.00 10.10  97.4  9.10 999.00     4 99.00 99.00
2020 01 03 10 30     2.2 15.50 999.00 10.30  95.6  9.00 999.00     4 99.00 99.00
2020 01 03 11 00     2.2 15.60 999.00 10.70  94.3  8.80 999.00     4 99.00 99.00
2020 01 03 11 30     2.2 15.50 999.00 10.00  95.3  8.90 999.00     4 99.00 99.00
2020 01 03 12 00     2.2 15.70 999.00 13.00  93.9  8.60 999.00     6 99.00 99.00
2020 01 03 12 30     2.2 15.80 999.00 12.90  93.5  8.60 999.00     7 99.00 99.00
2020 01 03 13 00     2.2 15.70 999.00 10.20  96.1  9.00 999.00     5 99.00 99.00
2020 01 03 13 30     2.2 15.70 999.00  9.90  93.7  8.80 999.00     5 99.00 99.00
2020 01 03 14 00     2.2 15.90 999.00 13.50  93.3  8.50 999.00     8 99.00 99.00
2020 01 03 14 30     2.3 15.90 999.00 10.20  95.5  8.90 999.00     6 99.00 99.00
2020 01 03 15 00     2.3 15.60 999.00  8.70  97.2  9.20 999.00     5 99.00 99.00
2020 01 03 15 30     2.2 15.60 999.00  8.50  97.3  9.20 999.00     5 99.00 99.00
2020 01 03 16 00     2.2 15.60 999.00  8.50  98.7  9.30 999.00     5 99.00 99.00
2020 01 03 16 30     2.2 15.60 999.00  8.30  99.7  9.40 999.00     5 99.00 99.00
2020 01 03 17 00     2.2 15.80 999.00  8.30 100.3  9.50 999.00     4 99.00 99.00
2020 01 03 17 30     2.2 15.80 999.00  8.00 101.7  9.60 999.00     4 99.00 99.00
2020 01 03 18 00     2.2 15.80 999.00  7.30 102.7  9.80 999.00     4 99.00 99.00
2020 01 03 18 30     2.2 15.70 999.00  6.80 103.3  9.90 999.00     5 99.00 99.00
2020 01 03 19 00     2.2 15.50 999.00  6.40 103.4  9.90 999.00     4 99.00 99.00
2020 01 03 19 30     2.2 15.60 999.00  6.50 102.4  9.80 999.00     4 99.00 99.00
2020 01 03 20 00     2.2 15.60 999.00  6.60 102.5  9.80 999.00     5 99.00 99.00
2020 01 03 20 30     2.2 15.70 999.00  6.90 103.6  9.90 999.00     5 99.00 99.00
2020 01 03 21 00     2.2 16.00 999.00  7.30 106.3 10.00 999.00    10 99.00 99.00
2020 01 03 21 30     2.2 15.80 999.00  6.80 105.3 10.00 999.00     5 99.00 99.00
2020 01 03 22 00     2.2 15.80 999.00  7.00 105.6 10.00 999.00     6 99.00 99.00
2020 01 03 22 30     2.2 16.10 999.00  7.40 105.7 10.00 999.00     5 99.00 99.00
2020 01 03 23 00     2.2 15.70 999.00  6.40 104.4 10.00 999.00     5 99.00 99.00
2020 01 03 23 30     2.2 15.80 999.00  9.30  97.8  9.20 999.00     8 99.00 99.00
2020 01 04 00 00     2.2 15.90 999.00 16.00  89.6  8.00 999.00    15 99.00 99.00
2020 01 04 00 30     2.2 15.90 999.00 15.70  90.3  8.10 999.00    13 99.00 99.00
2020 01 04 01 00     2.3 16.00 999.00 15.80  90.9  8.20 999.00    10 99.00 99.00
2020 01 04 01 30     2.3 15.80 999.00 12.40  94.4  8.70 999.00     8 99.00 99.00
2020 01 04 02 00     2.3 15.90 999.00 13.70  92.8  8.40 999.00     8 99.00 99.00
2020 01 04 02 30     2.3 15.80 999.00  8.20  99.1  9.40 999.00     6 99.00 99.00
2020 01 04 03 00     2.3 15.90 999.00  8.00 100.7  9.50 999.00     6 99.00 99.00
2020 01 04 03 30     2.3 15.60 999.00  5.90 101.9  9.80 999.00     5 99.00 99.00
2020 01 04 04 00     2.3 15.60 999.00  5.80 101.6  9.80 999.00     5 99.00 99.00
2020 01 04 04 30     2.3 15.80 999.00  7.70  98.5  9.30 999.00     5 99.00 99.00
2020 01 04 05 00     2.2 15.80 999.00  7.60  99.1  9.40 999.00     4 99.00 99.00
2020 01 04 05 30     2.3 15.90 999.00  8.40  99.7  9.40 999.00     8 99.00 99.00
2020 01 04 06 00     2.2 16.00 999.00  8.20 100.2  9.40 999.00     7 99.00 99.00
2020 01 04 06 30     2.2 16.10 999.00  8.50  99.4  9.30 999.00     7 99.00 99.00
2020 01 04 07 00     2.2 16.10 999.00  8.70  98.7  9.20 999.00     7 99.00 99.00
2020 01 04 07 30     2.2 15.80 999.00  6.90  98.5  9.40 999.00     5 99.00 99.00
2020 01 04 08 00     2.2 15.50 999.00  5.50 101.5  9.80 999.00     7 99.00 99.00
2020 01 04 08 30     2.2 15.40 999.00  5.10 100.7  9.80 999.00     6 99.00 99.00
2020 01 04 09 00     2.2 15.30 999.00  4.90 100.0  9.70 999.00     6 99.00 99.00
2020 01 04 09 30     2.1 15.30 999.00  4.80  99.6  9.70 999.00     8 99.00 99.00
2020 01 04 10 00     2.1 15.30 999.00  4.80  99.7  9.70 999.00     8 99.00 99.00
2020 01 04 10 30     2.1 15.30 999.00  5.20  99.7  9.70 999.00     6 99.00 99.00
2020 01 04 11 00     2.1 15.50 999.00  6.00  99.4  9.60 999.00     6 99.00 99.00
2020 01 04 11 30     2.1 15.50 999.00  6.00  98.5  9.50 999.00     9 99.00 99.00
2020 01 04 12 00     2.1 15.50 999.00  6.30  98.7  9.50 999.00     7 99.00 99.00
2020 01 04 12 30     2.1 15.60 999.00  6.50  97.7  9.40 999.00     7 99.00 99.00
2020 01 04 13 00     2.1 15.80 999.00  8.10  97.2  9.20 999.00     7 99.00 99.00
2020 01 04 13 30     2.1 15.80 999.00  8.20  96.4  9.10 999.00     6 99.00 99.00
2020 01 04 14 00     2.0 15.80 999.00  8.30  96.2  9.10 999.00     7 99.00 99.00
2020 01 04 14 30     2.0 15.50 999.00  6.60  96.9  9.30 999.00     6 99.00 99.00
2020 01 04 15 00     2.0 15.10 999.00  4.70  99.6  9.70 999.00     8 99.00 99.00
2020 01 04 15 30     2.0 15.20 999.00  5.20 100.9  9.80 999.00     7 99.00 99.00
2020 01 04 16 00     2.0 15.70 999.00  7.80  96.9  9.20 999.00     8 99.00 99.00
2020 01 04 16 30     2.0 15.90 999.00  8.40  97.2  9.10 999.00     9 99.00 99.00
2020 01 04 17 00     2.0 16.00 999.00  8.80  97.0  9.10 999.00    10 99.00 99.00
2020 01 04 17 30     2.0 16.10 999.00  9.30  98.5  9.20 999.00    11 99.00 99.00
2020 01 04 18 00     2.0 16.20 999.00  9.50 100.6  9.30 999.00    11 99.00 99.00
2020 01 04 18 30     2.0 16.30 999.00  9.70 103.6  9.60 999.00    10 99.00 99.00
2020 01 04 19 00     2.0 16.00 999.00  5.60 109.2 10.40 999.00     8 99.00 99.00
2020 01 04 19 30     2.0 16.20 999.00  6.40 110.9 10.50 999.00     8 99.00 99.00
2020 01 04 20 00     2.0 16.00 999.00  4.80 108.6 10.40 999.00    10 99.00 99.00
2020 01 04 20 30     2.0 15.90 999.00  4.40 107.2 10.30 999.00    13 99.00 99.00
2020 01 04 21 00     2.0 16.20 999.00  6.60 109.4 10.30 999.00     9 99.00 99.00
2020 01 04 21 30     2.0 16.40 999.00  8.10 107.9 10.10 999.00    15 99.00 99.00
2020 01 04 22 00     2.0 16.50 999.00  9.20 109.2 10.10 999.00    12 99.00 99.00
2020 01 04 22 30     2.0 16.60 999.00  9.60 110.7 10.20 999.00    11 99.00 99.00
2020 01 04 23 00     2.0 16.70 999.00 10.00 112.3 10.30 999.00    24 99.00 99.00
2020 01 04 23 30     2.0 16.70 999.00 10.40 111.3 10.20 999.00    25 99.00 99.00
2020 01 05 00 00     2.0 16.60 999.00 10.40 109.6 10.00 999.00    41 99.00 99.00
2020 01 05 00 30     1.9 16.40 999.00 10.40 107.2  9.80 999.00    29 99.00 99.00
2020 01 05 01 00     1.9 16.30 999.00 10.20 106.4  9.80 999.00    22 99.00 99.00
2020 01 05 01 30     1.9 16.30 999.00 10.20 106.3  9.80 999.00    10 99.00 99.00
2020 01 05 02 00     1.9 16.10 999.00  9.40 105.1  9.80 999.00    15 99.00 99.00
2020 01 05 02 30     1.9 15.60 999.00  7.50 102.7  9.80 999.00    16 99.00 99.00
