#YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
#yr  mo dy hr mn       m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2012 01 01 00 00     0.3 16.00 999.00 16.80 117.7 10.50 999.00    99 99.00 99.00
2012 01 01 00 30     0.3 16.00 999.00 16.80 112.3 10.00 999.00    99 99.00 99.00
2012 01 01 01 00     0.3 16.00 999.00 17.10 114.0 10.10 999.00    99 99.00 99.00
2012 01 01 01 30     0.3 15.20 999.00 19.10 116.6 10.40 999.00    99 99.00 99.00
2012 01 01 02 00     0.3 15.00 999.00 17.10 115.2 10.50 999.00    99 99.00 99.00
2012 01 01 02 30     0.3 15.00 999.00 17.00 113.9 10.30 999.00    99 99.00 99.00
2012 01 01 03 00     0.3 15.00 999.00 17.90 112.5 10.20 999.00    99 99.00 99.00
2012 01 01 03 30     0.3 15.00 999.00 17.60 111.1 10.10 999.00    99 99.00 99.00
2012 01 01 04 00     0.3 15.10 999.00 18.00 109.4  9.90 999.00    99 99.00 99.00
2012 01 01 04 30     0.2 15.10 999.00 18.30 110.1  9.90 999.00    99 99.00 99.00
2012 01 01 05 00     0.2 15.20 999.00 18.30 110.4  9.90 999.00    99 99.00 99.00
2012 01 01 05 30     0.2 15.20 999.00 18.40 109.0  9.80 999.00    99 99.00 99.00
2012 01 01 06 00     0.2 15.10 999.00 18.70 107.2  9.60 999.00    99 99.00 99.00
2012 01 01 06 30     0.2 15.10 999.00 18.80 107.1  9.60 999.00    99 99.00 99.00
2012 01 01 07 00     0.2 15.00 999.00 18.70 107.6  9.70 999.00    99 99.00 99.00
2012 01 01 07 30     0.2 15.10 999.00 18.20 107.6  9.70 999.00    99 99.00 99.00
2012 01 01 08 00     0.2 15.10 999.00 18.00 108.7  9.80 999.00    99 99.00 99.00
2012 01 01 08 30     0.2 14.90 999.00 15.80 109.7 10.10 999.00    99 99.00 99.00
2012 01 01 09 00     0.2 14.90 999.00 15.20 108.8 10.00 999.00    99 99.00 99.00
2012 01 01 09 30     0.1 15.00 999.00 15.70 109.1 10.00 999.00    99 99.00 99.00
2012 01 01 10 00     0.1 15.00 999.00 15.20 107.5  9.90 999.00    99 99.00 99.00
2012 01 01 11 00     0.1 14.80 999.00 13.00 107.6 10.10 999.00    99 99.00 99.00
