#YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
#yr  mo dy hr mn       m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2017 01 01 00 00     2.1 15.20 999.00 24.80  99.6  8.60 999.00    99 99.00 99.00
2017 01 01 00 30     2.2 15.30 999.00 25.60  97.1  8.30 999.00    99 99.00 99.00
2017 01 01 01 00     2.2 15.30 999.00 25.60  97.3  8.30 999.00    99 99.00 99.00
2017 01 01 01 30     2.2 15.40 999.00 25.70  96.8  8.30 999.00    99 99.00 99.00
2017 01 01 02 00     2.3 15.40 999.00 25.80  97.0  8.30 999.00    99 99.00 99.00
2017 01 01 02 30     2.3 15.50 999.00 25.80  97.0  8.30 999.00    99 99.00 99.00
2017 01 01 03 00     2.3 15.60 999.00 26.10  97.7  8.30 999.00    99 99.00 99.00
2017 01 01 03 30     2.3 15.60 999.00 26.20  97.7  8.30 999.00    99 99.00 99.00
2017 01 01 04 00     2.3 15.60 999.00 26.10  98.2  8.30 999.00    99 99.00 99.00
2017 01 01 04 30     2.4 15.40 999.00 24.70  99.7  8.60 999.00    99 99.00 99.00
2017 01 01 05 00     2.4 15.00 999.00 23.40 101.4  8.90 999.00    99 99.00 99.00
2017 01 01 05 30     2.3 14.90 999.00 23.20 100.6  8.80 999.00    99 99.00 99.00
2017 01 01 06 30     2.4 15.40 999.00 25.00  98.4  8.50 999.00    99 99.00 99.00
2017 01 01 07 00     2.4 14.70 999.00 23.00 101.1  8.90 999.00    99 99.00 99.00
2017 01 01 07 30     2.4 14.70 999.00 23.00 100.9  8.90 999.00    99 99.00 99.00
2017 01 01 08 00     2.4 14.70 999.00 23.00 100.2  8.80 999.00    99 99.00 99.00
2017 01 01 08 30     2.3 14.70 999.00 23.00 100.2  8.80 999.00    99 99.00 99.00
2017 01 01 09 00     2.3 15.60 999.00 25.40  89.9  7.70 999.00    99 99.00 99.00
2017 01 01 09 30     2.3 15.60 999.00 25.10  91.4  7.80 999.00    99 99.00 99.00
2017 01 01 10 00     2.3 14.90 999.00 23.00  99.7  8.80 999.00    99 99.00 99.00
2017 01 01 10 30     2.3 15.40 999.00 24.20  91.1  7.90 999.00    99 99.00 99.00
2017 01 01 11 00     2.2 15.50 999.00 24.00  91.4  7.90 999.00    99 99.00 99.00
2017 01 01 11 30     2.2 15.50 999.00 23.70  94.6  8.20 999.00    99 99.00 99.00
2017 01 01 12 00     2.2 15.70 999.00 23.40  97.6  8.40 999.00    99 99.00 99.00
2017 01 01 12 30     2.2 15.70 999.00 23.50  96.0  8.30 999.00    99 99.00 99.00
2017 01 01 13 00     2.2 15.60 999.00 23.60  95.6  8.20 999.00    99 99.00 99.00
2017 01 01 13 30     2.1 15.50 999.00 23.50  96.3  8.30 999.00    99 99.00 99.00
2017 01 01 14 00     2.1 15.50 999.00 23.50  96.4  8.30 999.00    99 99.00 99.00
2017 01 01 14 30     2.1 15.40 999.00 23.30  97.6  8.50 999.00    99 99.00 99.00
2017 01 01 15 00     2.1 15.40 999.00 23.40  97.1  8.40 999.00    99 99.00 99.00
2017 01 01 15 30     2.1 15.50 999.00 23.30  98.4  8.50 999.00    99 99.00 99.00
2017 01 01 16 00     2.1 15.50 999.00 23.20  99.4  8.60 999.00    99 99.00 99.00
2017 01 01 16 30     2.1 15.70 999.00 23.10 101.0  8.70 999.00    99 99.00 99.00
2017 01 01 17 00     2.1 15.70 999.00 23.00 101.5  8.80 999.00    99 99.00 99.00
2017 01 01 17 30     2.1 15.60 999.00 23.10  99.9  8.60 999.00    99 99.00 99.00
2017 01 01 18 00     2.1 15.60 999.00 23.20  99.3  8.60 999.00    99 99.00 99.00
2017 01 01 18 30     2.1 15.60 999.00 23.30  99.1  8.60 999.00    99 99.00 99.00
2017 01 01 19 00     2.1 15.70 999.00 23.30  99.4  8.60 999.00    99 99.00 99.00
2017 01 01 19 30     2.2 15.80 999.00 23.10 101.7  8.80 999.00    99 99.00 99.00
2017 01 01 20 00     2.2 15.80 999.00 23.20 101.7  8.70 999.00    99 99.00 99.00
2017 01 01 20 30     2.2 16.00 999.00 23.40 101.0  8.70 999.00    99 99.00 99.00
2017 01 01 21 00     2.2 16.30 999.00 23.10 104.9  9.00 999.00    99 99.00 99.00
2017 01 01 21 30     2.3 16.70 999.00 22.80 108.5  9.20 999.00    99 99.00 99.00
2017 01 01 22 00     2.3 16.80 999.00 22.90 107.9  9.10 999.00    99 99.00 99.00
2017 01 01 22 30     2.3 17.40 999.00 22.80 110.4  9.20 999.00    99 99.00 99.00
2017 01 01 23 00     2.3 17.40 999.00 22.90 111.5  9.30 999.00    99 99.00 99.00
2017 01 01 23 30     2.3 17.30 999.00 22.90 109.9  9.20 999.00    99 99.00 99.00
2017 01 02 00 00     2.4 17.40 999.00 22.80 110.5  9.20 999.00    99 99.00 99.00
2017 01 02 00 30     2.4 17.10 999.00 23.70 109.1  9.10 999.00    99 99.00 99.00
2017 01 02 01 00     2.4 16.60 999.00 24.90 101.1  8.50 999.00    99 99.00 99.00
2017 01 02 01 30     2.5 16.60 999.00 26.30  97.1  8.10 999.00    99 99.00 99.00
2017 01 02 02 00     2.5 16.70 999.00 26.70  97.0  8.00 999.00    99 99.00 99.00
2017 01 02 02 30     2.5 16.80 999.00 26.90  96.8  8.00 999.00    99 99.00 99.00
2017 01 02 03 00     2.5 16.90 999.00 26.00  98.5  8.20 999.00    99 99.00 99.00
2017 01 02 03 30     2.5 17.30 999.00 22.60 106.2  8.90 999.00    99 99.00 99.00
2017 01 02 04 00     2.5 17.30 999.00 23.00 106.0  8.90 999.00    99 99.00 99.00
2017 01 02 04 30     2.5 17.10 999.00 24.30 100.1  8.30 999.00    99 99.00 99.00
2017 01 02 05 00     2.5 17.20 999.00 22.80 103.5  8.70 999.00    99 99.00 99.00
2017 01 02 05 30     2.5 17.20 999.00 22.30 105.8  8.90 999.00    99 99.00 99.00
2017 01 02 06 30     2.5 16.70 999.00 23.40  96.3  8.10 999.00    99 99.00 99.00
2017 01 02 07 00     2.5 16.80 999.00 23.50  99.6  8.40 999.00    99 99.00 99.00
2017 01 02 07 30     2.4 16.80 999.00 23.30 100.8  8.50 999.00    99 99.00 99.00
2017 01 02 08 00     2.4 16.60 999.00 23.20 100.1  8.50 999.00    99 99.00 99.00
2017 01 02 08 30     2.4 16.50 999.00 23.20 100.1  8.50 999.00    99 99.00 99.00
2017 01 02 09 00     2.4 16.50 999.00 23.00 100.4  8.50 999.00    99 99.00 99.00
2017 01 02 09 30     2.4 16.60 999.00 22.90 100.6  8.50 999.00    99 99.00 99.00
2017 01 02 10 00     2.3 16.50 999.00 22.80 100.7  8.60 999.00    99 99.00 99.00
2017 01 02 10 30     2.3 16.60 999.00 22.80 101.3  8.60 999.00    99 99.00 99.00
2017 01 02 11 00     2.3 16.60 999.00 22.70 101.2  8.60 999.00    99 99.00 99.00
2017 01 02 11 30     2.2 16.40 999.00 22.60 100.6  8.60 999.00    99 99.00 99.00
2017 01 02 12 00     2.2 16.30 999.00 22.60 100.4  8.60 999.00    99 99.00 99.00
2017 01 02 12 30     2.2 16.30 999.00 22.50 100.1  8.60 999.00    99 99.00 99.00
2017 01 02 13 00     2.2 16.30 999.00 22.50 100.5  8.60 999.00    99 99.00 99.00
2017 01 02 13 30     2.1 16.30 999.00 22.40 100.8  8.60 999.00    99 99.00 99.00
2017 01 02 14 00     2.1 16.40 999.00 22.50 101.1  8.60 999.00    99 99.00 99.00
2017 01 02 14 30     2.1 16.40 999.00 22.30 102.1  8.70 999.00    99 99.00 99.00
2017 01 02 15 00     2.1 16.50 999.00 22.40 102.0  8.70 999.00    99 99.00 99.00
2017 01 02 15 30     2.1 16.60 999.00 22.30 103.2  8.80 999.00    99 99.00 99.00
2017 01 02 16 00     2.1 16.60 999.00 22.10 104.1  8.90 999.00    99 99.00 99.00
2017 01 02 16 30     2.1 16.60 999.00 22.00 104.1  8.90 999.00    99 99.00 99.00
2017 01 02 17 00     2.0 16.60 999.00 21.90 104.5  8.90 999.00    99 99.00 99.00
2017 01 02 17 30     2.1 16.70 999.00 21.80 106.1  9.10 999.00    99 99.00 99.00
2017 01 02 18 00     2.1 16.80 999.00 21.90 106.3  9.00 999.00    99 99.00 99.00
2017 01 02 18 30     2.1 16.90 999.00 22.00 104.4  8.90 999.00    99 99.00 99.00
2017 01 02 19 00     2.1 17.00 999.00 22.20 104.3  8.80 999.00    99 99.00 99.00
2017 01 02 19 30     2.1 17.00 999.00 22.20 104.0  8.80 999.00    99 99.00 99.00
2017 01 02 20 00     2.1 17.10 999.00 22.20 103.3  8.70 999.00    99 99.00 99.00
2017 01 02 20 30     2.1 17.10 999.00 22.30 103.4  8.70 999.00    99 99.00 99.00
2017 01 02 21 00     2.1 17.10 999.00 22.30 104.2  8.80 999.00    99 99.00 99.00
2017 01 02 21 30     2.1 17.10 999.00 22.20 102.5  8.70 999.00    99 99.00 99.00
2017 01 02 22 00     2.2 17.10 999.00 22.00 101.8  8.60 999.00    99 99.00 99.00
2017 01 02 22 30     2.2 17.10 999.00 21.40 100.2  8.50 999.00    99 99.00 99.00
2017 01 02 23 00     2.2 17.10 999.00 21.70 100.8  8.50 999.00    99 99.00 99.00
2017 01 02 23 30     2.3 17.00 999.00 22.10 102.0  8.60 999.00    99 99.00 99.00
2017 01 03 00 00     2.4 17.50 999.00 21.20 102.5  8.60 999.00    99 99.00 99.00
2017 01 03 00 30     2.4 17.60 999.00 21.10 101.6  8.50 999.00    99 99.00 99.00
2017 01 03 01 00     2.4 17.80 999.00 21.10  99.7  8.40 999.00    99 99.00 99.00
2017 01 03 01 30     2.3 17.40 999.00 20.70  99.0  8.40 999.00    99 99.00 99.00
2017 01 03 02 00     2.4 17.30 999.00 20.90  98.5  8.40 999.00    99 99.00 99.00
2017 01 03 02 30     2.3 17.30 999.00 20.60  97.2  8.30 999.00    99 99.00 99.00
