#YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
#yr  mo dy hr mn       m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2019 01 01 00 00     2.1 16.70 999.00 19.10  83.0  7.20 999.00    15 99.00 99.00
2019 01 01 00 30     2.1 16.50 999.00 18.80  80.6  7.00 999.00    20 99.00 99.00
2019 01 01 01 00     2.1 16.50 999.00 19.40  79.5  6.90 999.00    29 99.00 99.00
2019 01 01 01 30     2.1 16.70 999.00 17.90  78.4  6.80 999.00    14 99.00 99.00
2019 01 01 02 00     2.1 16.90 999.00 17.70  79.9  7.00 999.00    14 99.00 99.00
2019 01 01 02 30     2.1 16.80 999.00 17.10  79.7  7.00 999.00    12 99.00 99.00
2019 01 01 03 00     2.1 16.90 999.00 17.50  79.8  7.00 999.00    11 99.00 99.00
2019 01 01 03 30     2.1 17.10 999.00 18.10  79.5  6.90 999.00    11 99.00 99.00
2019 01 01 04 00     2.0 17.20 999.00 19.00  79.7  6.80 999.00    35 99.00 99.00
2019 01 01 04 30     2.0 17.50 999.00 18.90  77.5  6.60 999.00    19 99.00 99.00
2019 01 01 05 00     2.0 17.50 999.00 18.50  78.4  6.70 999.00    11 99.00 99.00
2019 01 01 05 30     1.9 17.50 999.00 17.30  75.5  6.50 999.00     9 99.00 99.00
2019 01 01 06 00     1.9 16.40 999.00 17.70  72.1  6.30 999.00    12 99.00 99.00
2019 01 01 06 30     1.9 16.70 999.00 18.00  76.7  6.70 999.00     9 99.00 99.00
2019 01 01 07 00     1.9 16.20 999.00 11.20  91.1  8.40 999.00     9 99.00 99.00
2019 01 01 07 30     1.9 16.10 999.00  9.70  93.3  8.70 999.00     9 99.00 99.00
2019 01 01 08 00     1.9 16.00 999.00  7.90  95.8  9.00 999.00    10 99.00 99.00
2019 01 01 08 30     1.8 16.00 999.00  6.70  97.5  9.30 999.00    11 99.00 99.00
2019 01 01 09 00     1.8 16.00 999.00  6.30  98.1  9.30 999.00    11 99.00 99.00
2019 01 01 09 30     1.8 16.00 999.00  5.90  99.0  9.40 999.00    12 99.00 99.00
2019 01 01 10 00     1.8 16.00 999.00  6.00  98.8  9.40 999.00    12 99.00 99.00
2019 01 01 10 30     1.7 16.00 999.00  5.90  99.0  9.40 999.00    11 99.00 99.00
2019 01 01 11 00     1.7 16.00 999.00  5.30  99.6  9.50 999.00    12 99.00 99.00
2019 01 01 11 30     1.7 15.90 999.00  4.90  99.9  9.60 999.00    13 99.00 99.00
2019 01 01 12 00     1.7 15.90 999.00  4.50 100.3  9.70 999.00    13 99.00 99.00
2019 01 01 12 30     1.7 15.80 999.00  4.10 100.8  9.70 999.00    13 99.00 99.00
2019 01 01 13 00     1.7 15.80 999.00  3.80 101.2  9.80 999.00    13 99.00 99.00
2019 01 01 13 30     1.7 15.80 999.00  3.70 100.7  9.80 999.00    13 99.00 99.00
2019 01 01 14 00     1.7 15.80 999.00  3.80 100.9  9.80 999.00    13 99.00 99.00
2019 01 01 14 30     1.8 15.80 999.00  3.90  99.8  9.70 999.00    13 99.00 99.00
2019 01 01 15 00     1.8 15.80 999.00  3.80  99.6  9.70 999.00    13 99.00 99.00
2019 01 01 15 30     1.8 16.00 999.00  8.00  93.2  8.80 999.00    12 99.00 99.00
