#YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
#yr  mo dy hr mn       m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2015 01 01 00 00     2.1 14.20 999.00 17.10  99.0  9.10 999.00    99 99.00 99.00
2015 01 01 00 30     2.1 14.10 999.00 18.10 103.2  9.50 999.00    99 99.00 99.00
2015 01 01 01 00     2.1 12.60 999.00 12.40 109.1 10.70 999.00    99 99.00 99.00
2015 01 01 01 30     2.1 12.00 999.00 10.80 105.0 10.60 999.00    99 99.00 99.00
2015 01 01 02 00     2.1 12.20 999.00 11.50 104.8 10.50 999.00    99 99.00 99.00
2015 01 01 02 30     2.1 11.80 999.00 10.80 103.6 10.50 999.00    99 99.00 99.00
2015 01 01 03 00     2.1 12.50 999.00 10.20 101.1 10.10 999.00    99 99.00 99.00
2015 01 01 03 30     2.0 12.60 999.00  8.80 100.8 10.20 999.00    99 99.00 99.00
2015 01 01 04 00     2.0 12.50 999.00  8.70 100.2 10.10 999.00    99 99.00 99.00
2015 01 01 04 30     2.0 12.40 999.00  8.60  99.9 10.10 999.00    99 99.00 99.00
2015 01 01 05 00     1.9 12.40 999.00  8.40  99.7 10.10 999.00    99 99.00 99.00
2015 01 01 05 30     1.9 12.40 999.00  8.60  99.4 10.10 999.00    99 99.00 99.00
2015 01 01 06 00     1.9 12.40 999.00  8.10  99.4 10.10 999.00    99 99.00 99.00
2015 01 01 06 30     1.9 12.30 999.00  8.20  98.8 10.00 999.00    99 99.00 99.00
2015 01 01 07 00     1.9 12.30 999.00  8.00  98.9 10.10 999.00    99 99.00 99.00
2015 01 01 07 30     1.9 12.20 999.00  7.80  99.2 10.10 999.00    99 99.00 99.00
2015 01 01 08 00     1.8 12.20 999.00  7.80  99.4 10.20 999.00    99 99.00 99.00
2015 01 01 08 30     1.8 12.30 999.00  8.20  99.6 10.10 999.00    99 99.00 99.00
2015 01 01 09 00     1.8 12.30 999.00  8.40  99.6 10.10 999.00    99 99.00 99.00
2015 01 01 09 30     1.7 12.30 999.00  8.60  99.5 10.10 999.00    99 99.00 99.00
2015 01 01 10 00     1.7 12.30 999.00  8.70  99.4 10.10 999.00    99 99.00 99.00
2015 01 01 10 30     1.7 12.40 999.00  9.00  99.0 10.00 999.00    99 99.00 99.00
2015 01 01 11 00     1.7 12.40 999.00  9.00  98.8 10.00 999.00    99 99.00 99.00
2015 01 01 11 30     1.7 12.50 999.00  9.00  98.8 10.00 999.00    99 99.00 99.00
2015 01 01 12 00     1.7 12.40 999.00  9.00  99.1 10.00 999.00    99 99.00 99.00
2015 01 01 12 30     1.7 12.30 999.00  8.80  98.8 10.00 999.00    99 99.00 99.00
2015 01 01 13 00     1.7 12.40 999.00  8.80  98.6 10.00 999.00    99 99.00 99.00
2015 01 01 13 30     1.7 12.50 999.00  9.30  98.5  9.90 999.00    99 99.00 99.00
2015 01 01 14 00     1.7 12.50 999.00  9.80  98.4  9.90 999.00    99 99.00 99.00
2015 01 01 14 30     1.7 12.60 999.00 10.10  98.1  9.80 999.00    99 99.00 99.00
2015 01 01 15 00     1.7 13.00 999.00 11.50  96.5  9.50 999.00    99 99.00 99.00
2015 01 01 15 30     1.7 13.10 999.00 11.90  95.5  9.30 999.00    99 99.00 99.00
2015 01 01 16 00     1.7 13.00 999.00 11.50  96.4  9.50 999.00    99 99.00 99.00
2015 01 01 16 30     1.8 12.90 999.00 10.70  97.7  9.70 999.00    99 99.00 99.00
